Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
101097,Fabaceae,Lathyrus paraguariensis Hassl.,VU,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101097
101099,Fabaceae,Lathyrus parodii Burkart,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101099
101101,Fabaceae,Leptolobium bijugum (Spreng.) Vogel,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101101
10109,Moraceae,Brosimum glaziovii Taub.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10109
101103,Fabaceae,Leptolobium dasycarpum Vogel,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101103
101102,Fabaceae,Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101102
101104,Fabaceae,Leptolobium glaziovianum (Harms) Sch.Rodr. & A.M.G.Azevedo,EN,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101104
101105,Fabaceae,Leptolobium tenuifolium Vogel,EN,2021,Não,https://dados.cncflora.jbrj.gov.br/ficha/101105
101118,Fabaceae,Luetzelburgia trialata (Ducke) Ducke,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101118
101121,Fabaceae,Lupinus dusenianus C.P.Sm.,CR,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/101121
101124,Fabaceae,Lupinus linearis Desr.,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101124
101117,Fabaceae,Luetzelburgia guaissara Toledo,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101117
101127,Fabaceae,Lupinus ovalifolius Benth.,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101127
10111,Moraceae,Brosimum lactescens (S.Moore) C.C.Berg,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10111
101130,Fabaceae,Lupinus prouvensalanus C.P.Sm.,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101130
101134,Fabaceae,Lupinus russellianus C.P.Sm.,CR,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/101134
101137,Fabaceae,Machaerium caratinganum Kuhlm. & Hoehne,NT,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101137
101140,Fabaceae,Machaerium firmum (Vell.) Benth.,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101140
101136,Fabaceae,Machaerium cantarellianum Hoehne,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101136
101138,Fabaceae,Machaerium declinatum (Vell.) Stellfeld,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101138
101144,Fabaceae,Machaerium hatschbachii Rudd,LC,2021,Não,https://dados.cncflora.jbrj.gov.br/ficha/101144
101146,Fabaceae,Machaerium legale (Vell.) Benth.,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101146
101147,Fabaceae,"Machaerium macaense C.V. Mendonça, A.M.G. Azevedo & H.C. Lima",VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101147
101142,Fabaceae,Machaerium glabrum Vogel,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101142
101148,Fabaceae,Machaerium obovatum Kuhlm. & Hoehne,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101148
101150,Fabaceae,Machaerium ruddianum C.V.Mendonça & A.M.G.Azevedo,LC,2021,Não,https://dados.cncflora.jbrj.gov.br/ficha/101150
101143,Fabaceae,Machaerium gracile Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101143
101156,Fabaceae,Myrocarpus leprosus Pickel,CR,2019,Não,https://dados.cncflora.jbrj.gov.br/ficha/101156
101157,Fabaceae,Ormosia friburgensis Taub. ex Glaz.,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101157
101158,Fabaceae,Ormosia minor Vogel,VU,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101158
101149,Fabaceae,Machaerium reticulatum (Poir.) Pers.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101149
101167,Fabaceae,Rhynchosia leucophylla (Benth.) Benth.,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101167
101159,Fabaceae,Ormosia ruddiana Yakovlev,EN,2019,Não,https://dados.cncflora.jbrj.gov.br/ficha/101159
101172,Fabaceae,Swartzia capixabensis Mansano,DD,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101172
10117,Moraceae,Dorstenia arifolia Lam.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10117
101174,Fabaceae,Swartzia oblata R.S.Cowan,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101174
101175,Fabaceae,Swartzia polita (R.S.Cowan) Torke,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101175
101173,Fabaceae,Swartzia glazioviana (Taub.) Glaz.,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101173
101179,Fabaceae,Tephrosia sessiliflora (Poir.) Hassl.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101179
